No,Problem,Category,Difficulty,Frequency,Key Idea,Time,Space,Common Trap
54,Cumulative sum of a list,List,Easy,Medium,itertools.accumulate,O(n),O(n),Recomputing a prefix sum each step gives O(n^2)
55,Find all pairs summing to a target,List,Easy,Very High,Hash set of complements in one pass,O(n),O(n),Nested loops; double-counting a pair; reusing one element
56,Split a list into equal chunks,List,Easy,Medium,Slice in steps of size k,O(n),O(n),Dropping the short final chunk
57,Find the mode of a list,List,Easy,Medium,Counter(lst).most_common(1),O(n),O(k),Ties for the mode are ambiguous — ask
58,Interchange the first and last elements,List,Easy,Low,"lst[0], lst[-1] = lst[-1], lst[0]",O(1),O(1),Failing on a single-element or empty list
59,Multiply all numbers in a list,List,Easy,Medium,math.prod,O(n),O(1),Initialising the accumulator to 0 instead of 1
60,Find array leaders (greater than all to the right),List,Easy,Medium,Scan right to left tracking the running max,O(n),O(n),Nested loops give O(n^2)
61,Merge two dictionaries,Dict,Easy,Very High,"{**a, **b} or a | b in 3.9+",O(n),O(n),Later keys silently overwrite earlier ones
62,Sort a dictionary by value,Dict,Easy,Very High,"sorted(d.items(), key=lambda kv: kv[1])",O(n log n),O(n),Sorting keys instead of items
63,Invert a dictionary,Dict,Easy,High,"{v: k for k, v in d.items()}",O(n),O(n),Duplicate values collapse and lose entries
64,Sum all values in a dictionary,Dict,Easy,Medium,sum(d.values()),O(n),O(1),Iterating keys and re-indexing needlessly
65,Find the key with the maximum value,Dict,Easy,High,"max(d, key=d.get)",O(n),O(1),max(d) returns the largest key not the max value
66,Group items by a property,Dict,Easy,High,defaultdict(list),O(n),O(n),KeyError from a plain dict without setdefault
67,Count word frequency in a text,Dict,Easy,Very High,Counter(text.lower().split()),O(n),O(k),Not normalising case or stripping punctuation
68,Check if two dictionaries are equal,Dict,Easy,Low,a == b,O(n),O(1),Key order is irrelevant to equality
69,Remove a key safely,Dict,Easy,Medium,"d.pop(key, None)",O(1),O(1),del raises KeyError when the key is absent
70,Nested dictionary access with a default,Dict,Easy,Medium,"Chained d.get(a, {}).get(b)",O(1),O(1),Chained [] raises KeyError or TypeError
71,Check for balanced parentheses,Stack,Easy,Very High,Stack; push openers and match closers,O(n),O(n),Not checking the stack is empty at the end
72,Implement a stack using a list,Stack,Easy,High,append and pop from the end,O(1),O(n),pop(0) is O(n) — that builds a queue not a stack
73,Implement a queue,Queue,Easy,High,collections.deque with popleft,O(1),O(n),list.pop(0) is O(n) per operation
74,Binary search in a sorted list,Search,Easy,Very High,Halve the range with low/mid/high,O(log n),O(1),mid overflow style bugs; wrong loop bound (low <= high)
75,Linear search,Search,Easy,Medium,Scan until found,O(n),O(1),Returning the value instead of the index
76,FizzBuzz,Logic,Easy,Very High,Check %15 first then %3 and %5,O(n),O(1),"Testing 3 and 5 before 15 so 15 prints ""Fizz"""
77,Print a right-angled star triangle,Pattern,Easy,High,Nested loop printing i stars,O(n^2),O(1),Off-by-one in range bounds
78,Print a pyramid star pattern,Pattern,Easy,High,Leading spaces then 2i-1 stars,O(n^2),O(1),Miscalculating the space count per row
79,Print an inverted star pattern,Pattern,Easy,Medium,Loop the row count downwards,O(n^2),O(1),Reversed range bounds
80,Print Pascal's triangle,Pattern,Easy,Medium,Each row from the previous row's pairwise sums,O(n^2),O(n),Mishandling the first and last 1 of each row
81,Read a file and count lines or words,File,Easy,High,Iterate the file handle,O(n),O(1),Not using a with block; readlines() loads everything
82,Find the most frequent word in a large file,File,Easy,Medium,Stream lines into a Counter,O(n),O(k),Reading the whole file into memory at once
83,Write a list to a file line by line,File,Easy,Medium,writelines with explicit newlines,O(n),O(1),writelines does not add newline characters
84,Check if a number appears twice in a list,Set,Easy,High,Track seen values in a set,O(n),O(n),Nested loops give O(n^2)
85,Check if all list elements are unique,Set,Easy,High,len(set(lst)) == len(lst),O(n),O(n),Unhashable elements raise TypeError
86,Union and difference of two lists,Set,Easy,Medium,Set operators | and -,O(n+m),O(n),Sets do not preserve order
87,Remove common elements between lists,Set,Easy,Medium,set(a) - set(b),O(n+m),O(n),Mutating a list while iterating it
88,Fibonacci with memoisation,Recursion,Easy,High,functools.lru_cache on the recursion,O(n),O(n),Forgetting the cache leaves it exponential
89,Sum of digits recursively,Recursion,Easy,Medium,n%10 + f(n//10) with base case 0,O(d),O(d),Missing or wrong base case causes infinite recursion
90,Reverse a string recursively,Recursion,Easy,Medium,f(s[1:]) + s[0],O(n^2),O(n),Slicing per call makes it quadratic — mention it
91,Tower of Hanoi,Recursion,Easy,Medium,Move n-1 aside then the base then back,O(2^n),O(n),Confusing the auxiliary and destination pegs
92,Power of a number (fast exponentiation),Recursion,Easy,Medium,Halve the exponent and square,O(log n),O(log n),Not handling a negative or zero exponent
93,Flatten a nested dictionary,Recursion,Easy,High,Recurse and join keys with a separator,O(n),O(n),Not handling lists nested inside the dictionary
94,Bubble sort,Sorting,Easy,High,Repeated adjacent swaps,O(n^2),O(1),No early exit when a pass makes no swaps
95,Insertion sort,Sorting,Easy,Medium,Shift each element into its sorted position,O(n^2),O(1),Best case is O(n) on sorted input — say so
96,Selection sort,Sorting,Easy,Medium,Repeatedly select the minimum,O(n^2),O(1),Claiming it is stable — it is not
97,Merge sort,Sorting,Easy,High,"Divide, sort halves, merge",O(n log n),O(n),Forgetting the O(n) auxiliary space
98,Quick sort,Sorting,Easy,High,Partition around a pivot then recurse,O(n log n) avg,O(log n),Worst case is O(n^2) on sorted input with a bad pivot
99,Count set bits in a number,Bit,Easy,Medium,bin(n).count('1') or Brian Kernighan's loop,O(log n),O(1),Not knowing the n & (n-1) trick
100,Find the single number in a list of pairs,Bit,Easy,High,XOR every element together,O(n),O(1),Using a Counter when XOR is O(1) space
